epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,848.212,0.83587,0.43564,1.02476,0.88836,0.87406,0.89574,0.54168,1.31249,0.58552,1.39956,0.000518051,0.000518051,0.000518051
84,858.332,0.83871,0.43735,1.02267,0.90625,0.86253,0.89607,0.54757,1.30022,0.58804,1.3839,0.000510598,0.000510598,0.000510598
85,868.434,0.83354,0.43736,1.02287,0.89433,0.86539,0.89586,0.54452,1.31373,0.59106,1.40776,0.000503146,0.000503146,0.000503146
86,878.62,0.84448,0.43778,1.02278,0.90877,0.86217,0.89927,0.54566,1.30511,0.58831,1.4014,0.000495694,0.000495694,0.000495694
87,888.74,0.8226,0.42773,1.01482,0.89301,0.87643,0.89889,0.5461,1.30198,0.57317,1.38751,0.000488241,0.000488241,0.000488241
88,898.832,0.80964,0.42557,1.01168,0.89915,0.86422,0.8952,0.55602,1.30226,0.57202,1.41913,0.000480789,0.000480789,0.000480789
89,909.154,0.80373,0.42062,1.01801,0.89949,0.86274,0.89319,0.54511,1.29388,0.58564,1.39888,0.000473337,0.000473337,0.000473337
90,919.211,0.79719,0.41423,0.99833,0.89631,0.87158,0.89548,0.54806,1.28044,0.57747,1.39393,0.000465884,0.000465884,0.000465884
91,929.346,0.79397,0.41424,1.00172,0.8815,0.87291,0.88822,0.54306,1.29452,0.58404,1.42079,0.000458432,0.000458432,0.000458432
92,939.451,0.79355,0.41143,0.99954,0.87019,0.87877,0.89198,0.5497,1.28331,0.58154,1.39524,0.00045098,0.00045098,0.00045098
93,949.523,0.80283,0.42304,1.00982,0.89536,0.85298,0.89351,0.54697,1.28804,0.57976,1.39009,0.000443527,0.000443527,0.000443527
94,959.665,0.80243,0.41611,1.00762,0.89198,0.85442,0.88956,0.54731,1.29278,0.59307,1.38453,0.000436075,0.000436075,0.000436075
95,969.683,0.79386,0.42037,1.00305,0.89984,0.85444,0.89021,0.54341,1.30066,0.59792,1.40191,0.000428623,0.000428623,0.000428623
96,979.788,0.80948,0.4197,1.01228,0.88497,0.87056,0.88273,0.53614,1.30151,0.59506,1.42505,0.00042117,0.00042117,0.00042117
97,989.898,0.80673,0.42266,1.01505,0.87698,0.86716,0.88311,0.54608,1.29996,0.58815,1.42493,0.000413718,0.000413718,0.000413718
98,1000.17,0.78827,0.41424,1.00253,0.88926,0.86806,0.89294,0.54772,1.29791,0.59256,1.4076,0.000406266,0.000406266,0.000406266
99,1010.31,0.78962,0.4142,1.00568,0.8986,0.87109,0.89487,0.55111,1.29024,0.58562,1.41325,0.000398813,0.000398813,0.000398813
100,1020.39,0.77622,0.40631,0.99444,0.89295,0.86975,0.89828,0.55631,1.29951,0.5913,1.4186,0.000391361,0.000391361,0.000391361
101,1030.68,0.75899,0.39506,0.99357,0.89367,0.85381,0.89008,0.54847,1.29766,0.58993,1.41797,0.000383909,0.000383909,0.000383909
102,1040.79,0.77404,0.39815,0.99259,0.88346,0.86894,0.89188,0.54469,1.30447,0.589,1.42983,0.000376456,0.000376456,0.000376456
103,1050.86,0.76954,0.40233,0.99824,0.89394,0.85716,0.89064,0.54924,1.30798,0.59307,1.44085,0.000369004,0.000369004,0.000369004
104,1061.03,0.75331,0.39356,0.98367,0.89328,0.86699,0.8977,0.55238,1.29685,0.58531,1.42587,0.000361552,0.000361552,0.000361552
105,1071.09,0.76919,0.39885,0.99954,0.90586,0.86284,0.89665,0.54951,1.29803,0.58468,1.42304,0.000354099,0.000354099,0.000354099
106,1081.24,0.76156,0.39993,0.98793,0.88908,0.88058,0.89763,0.55111,1.28796,0.58111,1.41193,0.000346647,0.000346647,0.000346647
107,1091.36,0.75517,0.3915,0.98107,0.88974,0.85848,0.88712,0.54932,1.28132,0.57456,1.41718,0.000339194,0.000339194,0.000339194
108,1101.47,0.74182,0.391,0.98038,0.89165,0.87594,0.88725,0.54265,1.29734,0.58852,1.42493,0.000331742,0.000331742,0.000331742
109,1111.59,0.72496,0.38173,0.97309,0.88386,0.87186,0.88925,0.5413,1.31245,0.59585,1.44002,0.00032429,0.00032429,0.00032429
110,1121.69,0.73639,0.38317,0.97729,0.89635,0.85932,0.8814,0.5354,1.31817,0.58496,1.46436,0.000316837,0.000316837,0.000316837
111,1131.77,0.7323,0.37928,0.97427,0.89692,0.84937,0.88355,0.54198,1.29594,0.58188,1.44449,0.000309385,0.000309385,0.000309385
112,1141.87,0.72708,0.38252,0.97249,0.8826,0.86593,0.88774,0.54475,1.30529,0.58858,1.45813,0.000301933,0.000301933,0.000301933
113,1151.91,0.72687,0.37842,0.97374,0.9021,0.86491,0.89132,0.54414,1.30627,0.59305,1.45095,0.00029448,0.00029448,0.00029448
114,1162.11,0.71651,0.37616,0.97505,0.89097,0.87123,0.89104,0.5498,1.30317,0.58592,1.43463,0.000287028,0.000287028,0.000287028
115,1172.13,0.71848,0.37328,0.97086,0.89875,0.86195,0.89137,0.54711,1.2988,0.57417,1.43309,0.000279576,0.000279576,0.000279576
116,1182.2,0.72243,0.37238,0.97161,0.89571,0.87257,0.89012,0.54422,1.30114,0.57511,1.43482,0.000272123,0.000272123,0.000272123
117,1192.33,0.7164,0.37554,0.96649,0.88691,0.86828,0.88322,0.54001,1.29828,0.58831,1.44511,0.000264671,0.000264671,0.000264671
